Chrom,GenomeVersion,Gene,start,end,Gene_length,,strand,,Gene_ID,,,,,,,,,
chr2H,ibsc,gene,743904135,743904350,215,.,+,.,HORVU2Hr1G119030,,,,,,,,,
chr2H,ibsc,gene,744050864,744053720,2856,.,+,.,HORVU2Hr1G119040,,,,,,,,,
chr2H,ibsc,gene,744120806,744122135,1329,.,-,.,HORVU2Hr1G119050,,,,,,,,,
chr2H,ibsc,gene,744169245,744170912,1667,.,-,.,HORVU2Hr1G119060,,,,,,,,,
chr2H,ibsc,gene,744194495,744201568,7073,.,+,.,HORVU2Hr1G119070,,,,,,,,,
chr2H,ibsc,gene,744272984,744274799,1815,.,+,.,HORVU2Hr1G119090,,,,,,,,,
chr2H,ibsc,gene,744323958,744325808,1850,.,+,.,HORVU2Hr1G119100,,,,,,,,,
chr2H,ibsc,gene,744388717,744473562,84845,.,-,.,HORVU2Hr1G119110,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2EL20];gene_id=HORVU2Hr1G119110;logic_name=ibsc,,,,,,,
chr2H,ibsc,gene,744574052,744575790,1738,.,+,.,HORVU2Hr1G119160,,,,,,,,,
chr2H,ibsc,gene,744575128,744584355,9227,.,-,.,HORVU2Hr1G119180,,,,,,,,,
chr2H,ibsc,gene,744607033,744620871,13838,.,-,.,HORVU2Hr1G119210,,,,,,,,,
chr2H,ibsc,gene,744657620,744667337,9717,.,-,.,HORVU2Hr1G119220,,,,,,,,,
chr2H,ibsc,gene,744727933,744729159,1226,.,+,.,HORVU2Hr1G119240,,,,,,,,,
chr2H,ibsc,gene,744765164,744776498,11334,.,+,.,HORVU2Hr1G119250,,,,,,,,,
chr2H,ibsc,gene,744819648,744825351,5703,.,+,.,HORVU2Hr1G119260,,,,,,,,,
chr2H,ibsc,gene,744833118,744834805,1687,.,-,.,HORVU2Hr1G119280,,,,,,,,,
chr2H,ibsc,gene,744835945,744836577,632,.,+,.,HORVU2Hr1G119290,,,,,,,,,
chr2H,ibsc,gene,744895688,744902709,7021,.,-,.,HORVU2Hr1G119310,,,,,,,,,
chr2H,ibsc,gene,744908134,744910808,2674,.,+,.,HORVU2Hr1G119350,,,,,,,,,
chr2H,ibsc,gene,744948139,744954723,6584,.,+,.,HORVU2Hr1G119380,,,,,,,,,
chr2H,ibsc,gene,744971908,744972198,290,.,+,.,HORVU2Hr1G119390,,,,,,,,,
chr2H,ibsc,gene,744993627,744997526,3899,.,+,.,HORVU2Hr1G119400,,,,,,,,,
chr2H,ibsc,gene,745001882,745010556,8674,.,-,.,HORVU2Hr1G119410,,,,,,,,,
chr2H,ibsc,gene,745043715,745044097,382,.,+,.,HORVU2Hr1G119420,,,,,,,,,
chr2H,ibsc,gene,745068961,745072656,3695,.,-,.,HORVU2Hr1G119430,,,,,,,,,
chr2H,ibsc,gene,745118403,745170712,52309,.,-,.,HORVU2Hr1G119460,,,,,,,,,
chr2H,ibsc,gene,745131646,745132659,1013,.,+,.,HORVU2Hr1G119470,,,,,,,,,
chr2H,ibsc,gene,745229546,745234470,4924,.,+,.,HORVU2Hr1G119480,,,,,,,,,
chr2H,ibsc,gene,745271154,745272964,1810,.,-,.,HORVU2Hr1G119500,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2DX93];gene_id=HORVU2Hr1G119500;logic_name=ibsc,,,,,,,
chr2H,ibsc,gene,745302206,745303231,1025,.,-,.,HORVU2Hr1G119520,,,,,,,,,
chr2H,ibsc,gene,745330647,745336381,5734,.,+,.,HORVU2Hr1G119540,,,,,,,,,
chr2H,ibsc,gene,745337005,745338062,1057,.,+,.,HORVU2Hr1G119550,,,,,,,,,
chr2H,ibsc,gene,745359480,745361091,1611,.,+,.,HORVU2Hr1G119570,,,,,,,,,
chr2H,ibsc,gene,745383175,745383577,402,.,+,.,HORVU2Hr1G119590,,,,,,,,,
chr2H,ibsc,gene,745408063,745410845,2782,.,-,.,HORVU2Hr1G119600,,,,,,,,,
chr2H,ibsc,gene,745416026,745420110,4084,.,-,.,HORVU2Hr1G119610,,,,,,,,,
chr2H,ibsc,gene,745557893,745558189,296,.,+,.,HORVU2Hr1G119630,,,,,,,,,
chr2H,ibsc,gene,745677155,745677259,104,.,-,.,HORVU2Hr1G119650,,,,,,,,,
chr2H,ibsc,gene,745976638,746012036,35398,.,+,.,HORVU2Hr1G119660,,,,,,,,,
chr2H,ibsc,gene,746135417,746138805,3388,.,-,.,HORVU2Hr1G119680,,,,,,,,,
chr2H,ibsc,gene,746149749,746152732,2983,.,-,.,HORVU2Hr1G119700,,,,,,,,,
chr2H,ibsc,gene,746271475,746272152,677,.,+,.,HORVU2Hr1G119710,,,,,,,,,
chr2H,ibsc,gene,746329226,746333026,3800,.,+,.,HORVU2Hr1G119720,,,,,,,,,
chr2H,ibsc,gene,746356278,746356914,636,.,+,.,HORVU2Hr1G119750,,,,,,,,,
chr2H,ibsc,gene,746370669,746374241,3572,.,+,.,HORVU2Hr1G119760,,,,,,,,,
chr2H,ibsc,gene,746374824,746379704,4880,.,-,.,HORVU2Hr1G119780,,,,,,,,,
chr2H,ibsc,gene,746478860,746479691,831,.,-,.,HORVU2Hr1G119810,,,,,,,,,
chr2H,ibsc,gene,746517119,746518464,1345,.,+,.,HORVU2Hr1G119820,,,,,,,,,
chr2H,ibsc,gene,746562978,746567627,4649,.,-,.,HORVU2Hr1G119900,,,,,,,,,
chr2H,ibsc,gene,746569148,746574176,5028,.,-,.,HORVU2Hr1G119920,,,,,,,,,
chr2H,ibsc,gene,746660622,746663714,3092,.,+,.,HORVU2Hr1G119950,,,,,,,,,
chr2H,ibsc,gene,746665856,746671857,6001,.,+,.,HORVU2Hr1G119960,,,,,,,,,
chr2H,ibsc,gene,746743617,746749420,5803,.,-,.,HORVU2Hr1G119970,,,,,,,,,
chr2H,ibsc,gene,746750318,746755573,5255,.,-,.,HORVU2Hr1G119980,,,,,,,,,
chr2H,ibsc,gene,746908195,746910222,2027,.,+,.,HORVU2Hr1G120010,,,,,,,,,
chr2H,ibsc,gene,746971513,746971953,440,.,-,.,HORVU2Hr1G120050,,,,,,,,,
chr2H,ibsc,gene,746988709,747007811,19102,.,+,.,HORVU2Hr1G120060,,,,,,,,,
chr2H,ibsc,gene,747125141,747126003,862,.,-,.,HORVU2Hr1G120090,,,,,,,,,
chr2H,ibsc,gene,747127997,747130329,2332,.,-,.,HORVU2Hr1G120100,[Source:UniProtKB/TrEMBL%3BAcc:M0XI38];gene_id=HORVU2Hr1G120100;logic_name=ibsc,,,,,,,,
chr2H,ibsc,gene,747264433,747266988,2555,.,+,.,HORVU2Hr1G120140,,,,,,,,,
chr2H,ibsc,gene,747294424,747296954,2530,.,+,.,HORVU2Hr1G120150,,,,,,,,,
chr2H,ibsc,gene,747361519,747362589,1070,.,-,.,HORVU2Hr1G120170,,,,,,,,,
chr2H,ibsc,gene,747376399,747378541,2142,.,-,.,HORVU2Hr1G120190,,,,,,,,,
chr2H,ibsc,gene,747405116,747409691,4575,.,-,.,HORVU2Hr1G120200,,,,,,,,,
chr2H,ibsc,gene,747541369,747546033,4664,.,-,.,HORVU2Hr1G120220,,,,,,,,,
chr2H,ibsc,gene,747546975,747549938,2963,.,-,.,HORVU2Hr1G120230,,,,,,,,,
chr2H,ibsc,gene,747665168,747668292,3124,.,-,.,HORVU2Hr1G120250,,,,,,,,,
chr2H,ibsc,gene,747944191,747945438,1247,.,+,.,HORVU2Hr1G120260,,,,,,,,,
chr2H,ibsc,gene,748056444,748057071,627,.,+,.,HORVU2Hr1G120290,,,,,,,,,
chr2H,ibsc,gene,748259723,748262738,3015,.,-,.,HORVU2Hr1G120330,,,,,,,,,
chr2H,ibsc,gene,748267764,748358708,90944,.,-,.,HORVU2Hr1G120340,,,,,,,,,
chr2H,ibsc,gene,748400615,748405147,4532,.,-,.,HORVU2Hr1G120370,,,,,,,,,
chr2H,ibsc,gene,748454316,748490900,36584,.,+,.,HORVU2Hr1G120390,,,,,,,,,
chr2H,ibsc,gene,748461056,748464292,3236,.,-,.,HORVU2Hr1G120400,biosynthesis,protein,COQ4,homolog%2C,mitochondrial,[Source:UniProtKB/TrEMBL%3BAcc:F2EKW7];gene_id=HORVU2Hr1G120400;logic_name=ibsc,,,
chr2H,ibsc,gene,748640547,748641310,763,.,-,.,HORVU2Hr1G120410,,,,,,,,,
chr2H,ibsc,gene,748648338,748649322,984,.,+,.,HORVU2Hr1G120420,,,,,,,,,
chr2H,ibsc,gene,748649998,748654337,4339,.,-,.,HORVU2Hr1G120430,,,,,,,,,
chr2H,ibsc,gene,748657292,748658328,1036,.,+,.,HORVU2Hr1G120440,,,,,,,,,
chr2H,ibsc,gene,748711953,748719103,7150,.,+,.,HORVU2Hr1G120470,,,,,,,,,
chr2H,ibsc,gene,748784109,748785976,1867,.,-,.,HORVU2Hr1G120490,,,,,,,,,
chr2H,ibsc,gene,748950601,748950810,209,.,+,.,HORVU2Hr1G120510,,,,,,,,,
chr2H,ibsc,gene,748969429,748970797,1368,.,+,.,HORVU2Hr1G120530,,,,,,,,,
chr2H,ibsc,gene,749596172,749601897,5725,.,+,.,HORVU2Hr1G120580,,,,,,,,,
chr2H,ibsc,gene,749602543,749606219,3676,.,-,.,HORVU2Hr1G120590,,,,,,,,,
chr2H,ibsc,gene,749727051,749728118,1067,.,+,.,HORVU2Hr1G120610,,,,,,,,,
chr2H,ibsc,gene,749741430,749744583,3153,.,-,.,HORVU2Hr1G120620,,,,,,,,,
chr2H,ibsc,gene,749752207,749814655,62448,.,+,.,HORVU2Hr1G120630,,,,,,,,,
chr2H,ibsc,gene,749756113,749757701,1588,.,+,.,HORVU2Hr1G120640,,,,,,,,,
chr2H,ibsc,gene,749760055,749824545,64490,.,-,.,HORVU2Hr1G120660,,,,,,,,,
chr2H,ibsc,gene,749845411,749846196,785,.,-,.,HORVU2Hr1G120740,,,,,,,,,
chr2H,ibsc,gene,749850651,749859471,8820,.,+,.,HORVU2Hr1G120750,,,,,,,,,
chr2H,ibsc,gene,749864780,749867535,2755,.,-,.,HORVU2Hr1G120780,,,,,,,,,
chr2H,ibsc,gene,749992858,750071731,78873,.,-,.,HORVU2Hr1G120830,,,,,,,,,
chr2H,ibsc,gene,750039406,750043756,4350,.,-,.,HORVU2Hr1G120850,,,,,,,,,
chr2H,ibsc,gene,750090543,750090665,122,.,-,.,HORVU2Hr1G120860,,,,,,,,,
chr2H,ibsc,gene,750112451,750115752,3301,.,+,.,HORVU2Hr1G120870,,,,,,,,,
chr2H,ibsc,gene,750142986,750173434,30448,.,+,.,HORVU2Hr1G120880,,,,,,,,,
chr2H,ibsc,gene,750221332,750221454,122,.,+,.,HORVU2Hr1G120900,,,,,,,,,
chr2H,ibsc,gene,750279249,750301537,22288,.,-,.,HORVU2Hr1G120920,,,,,,,,,
chr2H,ibsc,gene,750404170,750410438,6268,.,-,.,HORVU2Hr1G120970,,,,,,,,,
chr2H,ibsc,gene,750464458,750466027,1569,.,+,.,HORVU2Hr1G120980,,,,,,,,,
chr2H,ibsc,gene,750466052,750469645,3593,.,-,.,HORVU2Hr1G120990,,,,,,,,,
chr2H,ibsc,gene,750522486,750525536,3050,.,+,.,HORVU2Hr1G121020,,,,,,,,,
chr2H,ibsc,gene,750530898,750537187,6289,.,+,.,HORVU2Hr1G121030,,,,,,,,,
chr2H,ibsc,gene,750608853,750613984,5131,.,+,.,HORVU2Hr1G121050,,,,,,,,,
chr2H,ibsc,gene,750619150,750622505,3355,.,+,.,HORVU2Hr1G121060,,,,,,,,,
chr2H,ibsc,gene,750624869,750627697,2828,.,+,.,HORVU2Hr1G121070,,,,,,,,,
chr2H,ibsc,gene,750744195,750750459,6264,.,+,.,HORVU2Hr1G121080,,,,,,,,,
chr2H,ibsc,gene,750761925,750764372,2447,.,+,.,HORVU2Hr1G121090,,,,,,,,,
chr2H,ibsc,gene,750795901,750796080,179,.,-,.,HORVU2Hr1G121100,,,,,,,,,
chr2H,ibsc,gene,750809861,750836936,27075,.,+,.,HORVU2Hr1G121110,,,,,,,,,
chr2H,ibsc,gene,750971974,750972825,851,.,+,.,HORVU2Hr1G121140,,,,,,,,,
chr2H,ibsc,gene,750974436,750982041,7605,.,+,.,HORVU2Hr1G121150,,,,,,,,,
chr2H,ibsc,gene,750985262,750989372,4110,.,+,.,HORVU2Hr1G121170,,,,,,,,,
chr2H,ibsc,gene,750998639,750999319,680,.,+,.,HORVU2Hr1G121190,,,,,,,,,
chr2H,ibsc,gene,751003024,751005350,2326,.,+,.,HORVU2Hr1G121200,,,,,,,,,
chr2H,ibsc,gene,751011698,751018175,6477,.,+,.,HORVU2Hr1G121210,,,,,,,,,
chr2H,ibsc,gene,751128546,751133131,4585,.,+,.,HORVU2Hr1G121240,,,,,,,,,
chr2H,ibsc,gene,751128952,751133739,4787,.,-,.,HORVU2Hr1G121250,,,,,,,,,
chr2H,ibsc,gene,751173035,751173227,192,.,-,.,HORVU2Hr1G121270,,,,,,,,,
chr2H,ibsc,gene,751184539,751185192,653,.,-,.,HORVU2Hr1G121280,,,,,,,,,
chr2H,ibsc,gene,751195336,751199286,3950,.,+,.,HORVU2Hr1G121290,,,,,,,,,
chr2H,ibsc,gene,751204371,751207711,3340,.,+,.,HORVU2Hr1G121310,,,,,,,,,
chr2H,ibsc,gene,751301282,751302395,1113,.,-,.,HORVU2Hr1G121320,,,,,,,,,
chr2H,ibsc,gene,751323588,751355315,31727,.,-,.,HORVU2Hr1G121340,,,,,,,,,
chr2H,ibsc,gene,751362458,751366008,3550,.,+,.,HORVU2Hr1G121350,,,,,,,,,
chr2H,ibsc,gene,751532823,751533005,182,.,+,.,HORVU2Hr1G121360,,,,,,,,,
chr2H,ibsc,gene,751533894,751539417,5523,.,+,.,HORVU2Hr1G121370,,,,,,,,,
chr2H,ibsc,gene,751540068,751540181,113,.,-,.,HORVU2Hr1G121390,,,,,,,,,
chr2H,ibsc,gene,751545939,751546473,534,.,-,.,HORVU2Hr1G121410,,,,,,,,,
chr2H,ibsc,gene,751546977,751547447,470,.,-,.,HORVU2Hr1G121420,,,,,,,,,
chr2H,ibsc,gene,751551435,751555216,3781,.,+,.,HORVU2Hr1G121440,,,,,,,,,
chr2H,ibsc,gene,751560405,751560921,516,.,+,.,HORVU2Hr1G121450,,,,,,,,,
chr2H,ibsc,gene,751669035,751669221,186,.,+,.,HORVU2Hr1G121500,,,,,,,,,
chr2H,ibsc,gene,751670422,751672044,1622,.,+,.,HORVU2Hr1G121510,,,,,,,,,
chr2H,ibsc,gene,751691340,751691453,113,.,+,.,HORVU2Hr1G121540,,,,,,,,,
chr2H,ibsc,gene,751692104,751692516,412,.,+,.,HORVU2Hr1G121550,,,,,,,,,
chr2H,ibsc,gene,751692638,751692886,248,.,+,.,HORVU2Hr1G121560,,,,,,,,,
chr2H,ibsc,gene,751697040,751697351,311,.,+,.,HORVU2Hr1G121580,,,,,,,,,
chr2H,ibsc,gene,751697671,751699090,1419,.,+,.,HORVU2Hr1G121590,,,,,,,,,
chr2H,ibsc,gene,751701437,751701535,98,.,+,.,HORVU2Hr1G121600,,,,,,,,,
chr2H,ibsc,gene,751707071,751707790,719,.,-,.,HORVU2Hr1G121610,,,,,,,,,
chr2H,ibsc,gene,751716763,751717309,546,.,-,.,HORVU2Hr1G121630,,,,,,,,,
chr2H,ibsc,gene,751726776,751728640,1864,.,+,.,HORVU2Hr1G121650,,,,,,,,,
chr2H,ibsc,gene,751731307,751731777,470,.,+,.,HORVU2Hr1G121660,ribosomal,protein,S7%2C,chloroplastic,[Source:UniProtKB/TrEMBL%3BAcc:F2CXZ9];gene_id=HORVU2Hr1G121660;logic_name=ibsc,,,,
chr2H,ibsc,gene,751734722,751735083,361,.,+,.,HORVU2Hr1G121670,,,,,,,,,
chr2H,ibsc,gene,751735303,751735416,113,.,+,.,HORVU2Hr1G121680,,,,,,,,,
chr2H,ibsc,gene,751736089,751736575,486,.,+,.,HORVU2Hr1G121690,,,,,,,,,
chr2H,ibsc,gene,751737248,751738541,1293,.,-,.,HORVU2Hr1G121700,,,,,,,,,
chr2H,ibsc,gene,751738845,751739788,943,.,-,.,HORVU2Hr1G121710,,,,,,,,,
chr2H,ibsc,gene,751746461,751748962,2501,.,+,.,HORVU2Hr1G121740,,,,,,,,,
chr2H,ibsc,gene,751749525,751749737,212,.,+,.,HORVU2Hr1G121750,,,,,,,,,
chr2H,ibsc,gene,751758211,751758615,404,.,-,.,HORVU2Hr1G121760,,,,,,,,,
chr2H,ibsc,gene,751764653,751764865,212,.,-,.,HORVU2Hr1G121780,,,,,,,,,
chr2H,ibsc,gene,751774021,751776449,2428,.,-,.,HORVU2Hr1G121790,,,,,,,,,
chr2H,ibsc,gene,751778107,751778292,185,.,-,.,HORVU2Hr1G121800,,,,,,,,,
chr2H,ibsc,gene,751783636,751784919,1283,.,+,.,HORVU2Hr1G121820,,,,,,,,,
chr2H,ibsc,gene,751785048,751785263,215,.,-,.,HORVU2Hr1G121830,ribosomal,protein,S19%2C,chloroplastic,[Source:UniProtKB/TrEMBL%3BAcc:S4Z202];gene_id=HORVU2Hr1G121830;logic_name=ibsc,,,,
chr2H,ibsc,gene,751785326,751785574,248,.,-,.,HORVU2Hr1G121840,,,,,,,,,
chr2H,ibsc,gene,751785591,751786086,495,.,+,.,HORVU2Hr1G121850,,,,,,,,,
chr2H,ibsc,gene,751786759,751786872,113,.,-,.,HORVU2Hr1G121860,,,,,,,,,
chr2H,ibsc,gene,751787092,751787373,281,.,-,.,HORVU2Hr1G121870,,,,,,,,,
chr2H,ibsc,gene,751790318,751792762,2444,.,-,.,HORVU2Hr1G121880,,,,,,,,,
chr2H,ibsc,gene,751794022,751794174,152,.,-,.,HORVU2Hr1G121890,,,,,,,,,
chr2H,ibsc,gene,751806200,751806385,185,.,+,.,HORVU2Hr1G121930,,,,,,,,,
chr2H,ibsc,gene,751810359,751810457,98,.,-,.,HORVU2Hr1G121940,,,,,,,,,
chr2H,ibsc,gene,751820031,751820644,613,.,-,.,HORVU2Hr1G121950,,,,,,,,,
chr2H,ibsc,gene,751820854,751825106,4252,.,-,.,HORVU2Hr1G121960,,,,,,,,,
chr2H,ibsc,gene,751863488,751871558,8070,.,+,.,HORVU2Hr1G121970,,,,,,,,,
chr2H,ibsc,gene,751879294,751881879,2585,.,-,.,HORVU2Hr1G121980,,,,,,,,,
chr2H,ibsc,gene,751885640,751889762,4122,.,+,.,HORVU2Hr1G121990,,,,,,,,,
chr2H,ibsc,gene,751890538,751895932,5394,.,-,.,HORVU2Hr1G122000,,,,,,,,,
chr2H,ibsc,gene,751896135,751898556,2421,.,+,.,HORVU2Hr1G122020,,,,,,,,,
chr2H,ibsc,gene,751898802,751901715,2913,.,-,.,HORVU2Hr1G122030,,,,,,,,,
chr2H,ibsc,gene,751953871,751964775,10904,.,-,.,HORVU2Hr1G122040,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2ECQ7];gene_id=HORVU2Hr1G122040;logic_name=ibsc,,,,,,,
chr2H,ibsc,gene,751969080,751969343,263,.,+,.,HORVU2Hr1G122050,,,,,,,,,
chr2H,ibsc,gene,751988603,752001282,12679,.,-,.,HORVU2Hr1G122070,,,,,,,,,
chr2H,ibsc,gene,752018666,752030632,11966,.,+,.,HORVU2Hr1G122080,,,,,,,,,
chr2H,ibsc,gene,752062304,752072701,10397,.,+,.,HORVU2Hr1G122090,,,,,,,,,
chr2H,ibsc,gene,752185097,752185327,230,.,+,.,HORVU2Hr1G122100,,,,,,,,,
chr2H,ibsc,gene,752206293,752216549,10256,.,-,.,HORVU2Hr1G122110,,,,,,,,,
chr2H,ibsc,gene,752356887,752361642,4755,.,-,.,HORVU2Hr1G122140,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2DA16];gene_id=HORVU2Hr1G122140;logic_name=ibsc,,,,,,,
chr2H,ibsc,gene,752449255,752450828,1573,.,-,.,HORVU2Hr1G122150,,,,,,,,,
chr2H,ibsc,gene,752586966,752594806,7840,.,+,.,HORVU2Hr1G122160,,,,,,,,,
chr2H,ibsc,gene,752615128,752630163,15035,.,-,.,HORVU2Hr1G122170,,,,,,,,,
chr2H,ibsc,gene,752632144,752643439,11295,.,-,.,HORVU2Hr1G122180,,,,,,,,,
chr2H,ibsc,gene,752677559,752685806,8247,.,-,.,HORVU2Hr1G122240,,,,,,,,,
chr2H,ibsc,gene,752683143,752683343,200,.,+,.,HORVU2Hr1G122250,,,,,,,,,
chr2H,ibsc,gene,752906333,752907230,897,.,+,.,HORVU2Hr1G122260,,,,,,,,,
chr2H,ibsc,gene,752926910,752929148,2238,.,+,.,HORVU2Hr1G122270,,,,,,,,,
chr2H,ibsc,gene,752961012,752961635,623,.,+,.,HORVU2Hr1G122280,,,,,,,,,
chr2H,ibsc,gene,752986720,752987857,1137,.,+,.,HORVU2Hr1G122300,,,,,,,,,
chr2H,ibsc,gene,753015953,753019047,3094,.,+,.,HORVU2Hr1G122310,,,,,,,,,
chr2H,ibsc,gene,753019348,753020326,978,.,-,.,HORVU2Hr1G122320,,,,,,,,,
chr2H,ibsc,gene,753099228,753102258,3030,.,+,.,HORVU2Hr1G122330,,,,,,,,,
chr2H,ibsc,gene,753104553,753109720,5167,.,-,.,HORVU2Hr1G122350,,,,,,,,,
chr2H,ibsc,gene,753121602,753124953,3351,.,-,.,HORVU2Hr1G122370,,,,,,,,,
chr2H,ibsc,gene,753153915,753157639,3724,.,+,.,HORVU2Hr1G122390,,,,,,,,,
chr2H,ibsc,gene,753230879,753232328,1449,.,+,.,HORVU2Hr1G122440,,,,,,,,,
chr2H,ibsc,gene,753282710,753289542,6832,.,-,.,HORVU2Hr1G122470,,,,,,,,,
chr2H,ibsc,gene,753302807,753304092,1285,.,+,.,HORVU2Hr1G122490,,,,,,,,,
chr2H,ibsc,gene,753356843,753360440,3597,.,-,.,HORVU2Hr1G122510,,,,,,,,,
chr2H,ibsc,gene,753363182,753363710,528,.,+,.,HORVU2Hr1G122540,,,,,,,,,
chr2H,ibsc,gene,753391612,753392265,653,.,-,.,HORVU2Hr1G122560,,,,,,,,,
chr2H,ibsc,gene,753393466,753393972,506,.,-,.,HORVU2Hr1G122570,,,,,,,,,
chr2H,ibsc,gene,753395800,753397331,1531,.,+,.,HORVU2Hr1G122580,,,,,,,,,
chr2H,ibsc,gene,753414713,753416815,2102,.,-,.,HORVU2Hr1G122590,,,,,,,,,
chr2H,ibsc,gene,753433109,753433646,537,.,+,.,HORVU2Hr1G122600,,,,,,,,,
chr2H,ibsc,gene,753435990,753437007,1017,.,-,.,HORVU2Hr1G122610,,,,,,,,,
chr2H,ibsc,gene,753438896,753490313,51417,.,-,.,HORVU2Hr1G122620,,,,,,,,,
chr2H,ibsc,gene,753496840,753497543,703,.,+,.,HORVU2Hr1G122630,,,,,,,,,
chr2H,ibsc,gene,753497875,753501250,3375,.,+,.,HORVU2Hr1G122640,,,,,,,,,
chr2H,ibsc,gene,753498170,753501261,3091,.,-,.,HORVU2Hr1G122650,,,,,,,,,
chr2H,ibsc,gene,753502776,753505395,2619,.,+,.,HORVU2Hr1G122660,,,,,,,,,
chr2H,ibsc,gene,753563922,753568405,4483,.,+,.,HORVU2Hr1G122680,,,,,,,,,
chr2H,ibsc,gene,753586334,753600287,13953,.,-,.,HORVU2Hr1G122690,,,,,,,,,
chr2H,ibsc,gene,753617202,753617726,524,.,-,.,HORVU2Hr1G122700,,,,,,,,,
chr2H,ibsc,gene,753654257,753729944,75687,.,+,.,HORVU2Hr1G122730,,,,,,,,,
chr2H,ibsc,gene,753717410,753719413,2003,.,+,.,HORVU2Hr1G122760,,,,,,,,,
chr2H,ibsc,gene,753734775,753736802,2027,.,-,.,HORVU2Hr1G122780,,,,,,,,,
chr2H,ibsc,gene,753767656,753769643,1987,.,-,.,HORVU2Hr1G122800,,,,,,,,,
chr2H,ibsc,gene,753830955,753848210,17255,.,+,.,HORVU2Hr1G122810,,,,,,,,,
chr2H,ibsc,gene,753869186,753869836,650,.,-,.,HORVU2Hr1G122840,,,,,,,,,
chr2H,ibsc,gene,753923725,753928860,5135,.,-,.,HORVU2Hr1G122850,,,,,,,,,
chr2H,ibsc,gene,753965672,753966406,734,.,-,.,HORVU2Hr1G122860,,,,,,,,,
chr2H,ibsc,gene,754193353,754196120,2767,.,-,.,HORVU2Hr1G122890,,,,,,,,,
chr2H,ibsc,gene,754498144,754502096,3952,.,+,.,HORVU2Hr1G122920,,,,,,,,,
chr2H,ibsc,gene,754502463,754505058,2595,.,-,.,HORVU2Hr1G122930,,,,,,,,,
chr2H,ibsc,gene,754525952,754527420,1468,.,-,.,HORVU2Hr1G122940,,,,,,,,,
chr2H,ibsc,gene,754533869,754536700,2831,.,-,.,HORVU2Hr1G122950,,,,,,,,,
chr2H,ibsc,gene,754538953,754540526,1573,.,-,.,HORVU2Hr1G122960,,,,,,,,,
chr2H,ibsc,gene,754562869,754569670,6801,.,-,.,HORVU2Hr1G122970,,,,,,,,,
chr2H,ibsc,gene,754603167,754604890,1723,.,-,.,HORVU2Hr1G123030,,,,,,,,,
chr2H,ibsc,gene,754613729,754614738,1009,.,+,.,HORVU2Hr1G123050,,,,,,,,,
chr2H,ibsc,gene,754623825,754624753,928,.,+,.,HORVU2Hr1G123060,,,,,,,,,
chr2H,ibsc,gene,754633335,754644513,11178,.,-,.,HORVU2Hr1G123070,,,,,,,,,
chr2H,ibsc,gene,754647170,754654997,7827,.,+,.,HORVU2Hr1G123080,,,,,,,,,
chr2H,ibsc,gene,754665047,754666242,1195,.,+,.,HORVU2Hr1G123100,,,,,,,,,
chr2H,ibsc,gene,754712647,754717489,4842,.,-,.,HORVU2Hr1G123110,,,,,,,,,
chr2H,ibsc,gene,754722899,754723432,533,.,-,.,HORVU2Hr1G123130,,,,,,,,,
chr2H,ibsc,gene,754732100,754732491,391,.,+,.,HORVU2Hr1G123140,,,,,,,,,
chr2H,ibsc,gene,754735268,754741671,6403,.,-,.,HORVU2Hr1G123150,,,,,,,,,
chr2H,ibsc,gene,754781504,754786917,5413,.,+,.,HORVU2Hr1G123160,,,,,,,,,
chr2H,ibsc,gene,754812615,754812812,197,.,-,.,HORVU2Hr1G123170,,,,,,,,,
chr2H,ibsc,gene,754852856,754853425,569,.,-,.,HORVU2Hr1G123190,,,,,,,,,
chr2H,ibsc,gene,754872592,754876472,3880,.,+,.,HORVU2Hr1G123200,,,,,,,,,
chr2H,ibsc,gene,754878848,754883006,4158,.,-,.,HORVU2Hr1G123220,,,,,,,,,
chr2H,ibsc,gene,754926398,754926595,197,.,-,.,HORVU2Hr1G123240,,,,,,,,,
chr2H,ibsc,gene,754972797,755005690,32893,.,+,.,HORVU2Hr1G123270,,,,,,,,,
chr2H,ibsc,gene,755062922,755064295,1373,.,+,.,HORVU2Hr1G123290,,,,,,,,,
chr2H,ibsc,gene,755078099,755079564,1465,.,+,.,HORVU2Hr1G123310,,,,,,,,,
chr2H,ibsc,gene,755087678,755095187,7509,.,+,.,HORVU2Hr1G123320,,,,,,,,,
chr2H,ibsc,gene,755179330,755227599,48269,.,+,.,HORVU2Hr1G123350,,,,,,,,,
chr2H,ibsc,gene,755194889,755197487,2598,.,-,.,HORVU2Hr1G123370,,,,,,,,,
chr2H,ibsc,gene,755527441,755530456,3015,.,+,.,HORVU2Hr1G123420,,,,,,,,,
chr2H,ibsc,gene,755729305,755730300,995,.,-,.,HORVU2Hr1G123450,,,,,,,,,
chr2H,ibsc,gene,755730464,755735570,5106,.,-,.,HORVU2Hr1G123460,,,,,,,,,
chr2H,ibsc,gene,755731780,755732154,374,.,+,.,HORVU2Hr1G123470,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2CPR8];gene_id=HORVU2Hr1G123470;logic_name=ibsc,,,,,,,
